# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Products","2007-08 Qty ( In MTS)","2007-08 Value( In ` Lakh)","2008-09 Qty ( In MTS)","2008-09 Value( In ` Lakh)","2009-10  Qty ( In MTS)","2009-10  Value( In ` Lakh)","2010-11  Qty ( In MTS)","2010-11  Value( In ` Lakh)"
"Floriculture","36240.71","34014.42","30798.34","36881.41","26814.52","29446.36","2777614","2864541"
"Fruit and Vegetables Seeds","10157.13","14212.29","8535.53","11999.09","8883.860000000001","14507.51","1118250","1751952"
"Floriculture & Seed Total","46397.84","48226.71","39333.87","48880.50","35698.38","43953.87","3895864","4616493"
"Fresh Onions","1008606.48","103577.89","1670186.29","182752.21","1664922.39","231942.98","116347258","17415541"
"Other Fresh Vegetables","350235.47","48949.01","505285.46","68020.32","419241.35","73185.89999999999","49091405","8929361"
"Dried Nuts (Walnuts)","6716.48","16207.80","5696.34","14123.63","9073.379999999999","19789.51","524458","1565059"
"Fresh Mangoes","54350.80","12741.76","83703.18","17071.25","74460.61","20053.98","5922077","1629213"
"Fresh Grapes","96963.57","31782.51","124627.97","40861.28","131153.61","54533.89","9931183","4120632"
"Other Fresh Fruits","207700.78","30452.60","256768.53","43086.84","260675.43","52283.32","25385099","4896474"
"Fresh Fruits & Vegetables Total","1724573.58","243711.57","2646267.77","365915.53","2559526.77","451789.58","207201480","38556280"
"Dried and Preserved Vegetables","125726.28","42993.81","147861.22","49641.51","124613.5","53207.48","11017391","5169709"
"Mango Pulp","166752.17","50968.51","173013.60","75298.90","186197.85","74460.77","17192943","8140066"
" Other Processed Fruits and Vegetables","311756.29","96281.65","387126.42","137179.00","397978.17","143550.63","34006797","13163553"
"Processed Fruits and Vegetables Total","604234.74","190243.97","708001.24","262119.41","708789.52","271218.88","62217131","26473328"
"Potato","NA","NA","NA","Kufari Surya","NA","NA","Kufri Himsona","Kufri Frysona"
"Potato","NA","NA","NA","Kufri Pushkar","NA","NA","Kufri Sadabahar","NA"
"Potato","NA","NA","NA","Kufri Shailja","NA","NA","Kufri Girdhari","NA"
"Potato","NA","NA","NA","Kufri Chipsona-3","NA","NA","NA","NA"
"Potato","NA","NA","NA","Kufri Himalini","NA","NA","NA","NA"
"Potato","NA","NA","NA","Kufri Arun","NA","NA","Kufri Khyati","NA"
"Watermelon","NA","Durgapura Lal (RW 177-3)","NA","NA","NA","Thar Manak","NA","NA"
"Amaranthus","NA","Konkan","NA","NA","NA","NA","NA","NA"
"Amaranthus","NA","Durangi","NA","NA","NA","NA","NA","NA"
"Ash Gourd","NA","Pusa Ujwal (DAG-1)","NA","NA","NA","NA","NA","NA"
"Pumpkin","NA","NA","Sooraj (CM-350)","NDPK-24","NA","NA","NA","NA"
"Brinjal","NA","NA","Gujrat Brinjal Long-1","Kashi Prakash(IVBT-1)","NA","NA","NA","NA"
"Brinjal","NA","NA","Brinjal Hybrid-2 (GBH-2)","Swarna Shobha(HABR-4)","NA","NA","NA","NA"
"Brinjal","NA","NA","Utkal Jyoti (BB-13)","NA","NA","NA","NA","NA"
"Brinjal","NA","NA","Swarna Pratibha (CH-309)","NA","NA","NA","NA","NA"
"Brinjal","NA","NA","Swarna Mani (CHTH-1)","NA","NA","NA","NA","NA"
"Mushmelon","NA","NA","RM-50, MHY-5","NA","NA","NA","NA","NA"
"Snap Melon","NA","NA","Pusa Shandar (DSM-1)","NA","NA","NA","NA","NA"
"Spong Gourd","NA","NA","Pusa Sneha","Swarna Prabha(CHSG-1)","NA","NA","NA","NA"
"Spong Gourd","NA","NA","NA","Gujarat Sponge Gourd-1(JSGL-55)","NA","NA","NA","NA"
"Cauliflower","NA","NA","Pusa Sharad (sel-303-1-2)","Kashi Kuwari(IVCE-2)","NA","NA","NA","NA"
"Cauliflower","NA","NA","Pusa Meghna (DC/98-2)","NA","NA","NA","NA","NA"
"Cauliflower","NA","NA","Pusa Snowball K-25 (Kt-25)","NA","NA","NA","NA","NA"
"Vegetable Muskard","NA","NA","Pusa Saag-1 (MR-704)","NA","NA","NA","NA","NA"
"Chilli","NA","NA","NA","Arka Suphal (PMR 57/88 K)","NA","Arka","NA","NA"
"Chilli","NA","NA","Utkal Ava (BC-14-2)","Gujarat Veg.","NA","Arka aweta","NA","NA"
"Chilli","NA","NA","NA","Prasanth(LCA- 334)","NA","Arka Meghana","NA","NA"
"Chilli","NA","NA","NA","Kashi Anmol(KA-2)","NA","NA","NA","NA"
"Chilli","NA","NA","NA","Chilli-101(Anand Jyot 101)","NA","NA","NA","NA"
"Cowpea","NA","NA","NA","Kashi Shyamal(IVRCP-1)","NA","NA","NA","NA"
"Garlic","NA","NA","VL Garlic -1 (VLG-7)","Jamuna Safed-4(G-323)","NA","NA","NA","Bhima Omkar"
"Okra","NA","NA","NA","Kashi Pragati(VRO-6)","NA","NA","NA","NA"
"Okra","NA","NA","NA","Kashi Vibhuti(VRO-5)","NA","NA","NA","NA"
"Okra Hybrid","NA","NA","NA","HBH-142","NA","NA","NA","NA"
"Okra Hybrid","NA","NA","NA","Kashi Bhairo (DVR-3)","NA","NA","NA","NA"
"Cucumber","NA","NA","Swarna Poona (CH-20)","NA","NA","NA","NA","NA"
"Onion","NA","NA","RO-1(Rajasthan Onion-1)","NA","NA","NA","NA","Bhima Red"
"Tomato","NA","NA","Sankranthi (TLB-11)","Kashi Hemant (IIVR Sel-1)","NA","NA","NA","NA"
"Tomato","NA","NA","Nandi (TLB-130)","Kashi Sharad(IIVR Sel-2)","NA","NA","NA","NA"
"Tomato","NA","NA","Vybhat (TLB-182)","Kashi Vishesh (H-86)","NA","NA","NA","NA"
"Tomato","NA","NA","Swaprna Baibhay(CHTH-1)","NA","NA","NA","NA","NA"
"Tomato Hyb.","NA","NA","NA","Arka Ananya (TLBRH-9)","NA","NA","NA","NA"
"Pea","NA","NA","Sankranthi (TLB-11)","Kashi Nandini(VRP-5)","NA","NA","NA","NA"
"Pea","NA","NA","Nandi (TLB-130)","Narendra Subzi Matar-6","NA","NA","NA","NA"
"Pea","NA","NA","Vybhat (TLB-182)","NA","NA","NA","NA","NA"
"Khejri","NA","NA","NA","NA","NA","Thar Shobha","NA","NA"
"Bottle gourd","NA","NA","NA","NA","NA","Thar Samridhi","NA","NA"
"French bean","NA","NA","NA","NA","NA","NA","Arka Anoop","NA"
"Garden pea","NA","NA","NA","NA","NA","Arka Karthik","NA","NA"
"Garden pea","NA","NA","NA","NA","NA","Arka Sampoorna","NA","NA"
"Carrot","NA","NA","NA","NA","NA","Arka Suraj","NA","NA"
"Cashew-nut","NA","NA","NA","Bhaskar","NA","Chintamani-2","NA","NA"
"Cashew-nut","NA","NA","NA","NA","NA","VRI(CW)-5","NA","NA"
"Cashew-nut","NA","NA","NA","NA","NA","Goa-2","NA","NA"
"Coconut (palms)","Coconut","NA","NA","NA","NA","NA","Kalpa Pratibha","NA"
"Coconut (palms)","Arasam-patti Tall/ Aliyar nagar-1","NA","NA","NA","NA","NA","Kalpa Mitra","NA"
"Coconut (palms)","NA","NA","NA","NA","NA","NA","Kalpa Dhenu","NA"
"Coconut (palms)","NA","NA","NA","NA","NA","NA","Kalparaksha","NA"
"Turmeric","NA","NA","IISR Kedaram IISR","NA","IISR, Kedaram","NA","NA","NA"
"Turmeric","NA","NA","Alleppey Supreme","NA","IISR Alleppey Supreme","NA","NA","NA"
"Ginger","IISR Rejatha","NA","NA","IISR Nahima","NA","NA","NA","NA"
"Ginger","IISR Mahima","NA","NA","IISR Rajitha","NA","NA","NA","NA"
"Nutmeg","IISR Viswashree","NA","NA","IISR Viswashree","NA","NA","NA","NA"
"Ajowan","NA","NA","Ajmer Ajowan-1","NA","NA","NA","NA","NA"
"Ajowan","NA","NA","(AA-1)","NA","NA","NA","NA","NA"
"Ajowan","NA","NA","Ajmer Ajowan-2","NA","NA","NA","NA","NA"
"Ajowan","NA","NA","(AA-2)","NA","NA","NA","NA","NA"
"Dill","NA","NA","Ajmer Dill-1 (AD-1)","NRCSS AD -1","NA","NA","NA","NA"
"Dill","NA","NA","Ajmer Dill-2(AD-2)","NRCSS AD- 2","NA","NA","NA","NA"
"Dill","NA","NA","NA","NA","NA","NA","NA","NA"
"Nigella","NA","NA","Ajmer Nigella-1(AN-1)","NRCSS AA-1","NA","NA","NA","NA"
"Nigella","NA","NA","NA","NRCSS AA-2","NA","NA","NA","NA"
"Nigella","NA","NA","NA","NRCSS AN-1","NA","NA","NA","NA"
"Fennel","NA","NA","Hisar Swarup","NRCSS AF 1","RF-178 (UfF-178)","RF-178","NA","NA"
"Fennel","NA","NA","Gujrat fennel-11","NA","NA","RF-143","NA","NA"
"Fenugreek","NA","NA","NA","NA","RMt-351","NA","NA","NA"
"Fenugreek","NA","NA","RMt. 305","NRCSS AM 1","(UM-351)","RMt-351","NA","NA"
"Fenugreek","NA","NA","NA","NRCSS AM 2","Gujarat Methi-2","RMt-3005","NA","NA"
"Fenugreek","NA","NA","NA","NA","(J.Fenu-244)","NA","NA","NA"
"Coriander","NA","NA","Hisar Surabhi","NRCSS ACr 1","RCr-480","Hisar Surabhi","Hisar Bhoomit","NA"
"Coriander","NA","NA","NA","NA","(UD-480)","RCr-480","NA","NA"
"Coriander","NA","NA","NA","NA","Hisar Surabhi","NA","NA","NA"
"Coriander","NA","NA","NA","NA","(DH-246)","NA","NA","NA"
"Coriander","NA","NA","NA","NA","Sudha (LCC-128)","NA","NA","NA"
"Cumin","NA","NA","NA","NA","RZ-341 (UC-341)","Sudha","NA","NA"
"Cumin","NA","NA","RZ-223","NA","Gujarat Cumin-4","RZ-341","NA","NA"
"Cumin","NA","NA","NA","NA","(JC-2000-72)","RZ-223","NA","NA"
"Black pepper","NA","NA","IISR Thevam","NA","IISR Thevam","NA","NA","NA"
"Black pepper","NA","NA","IISR Girimunda","NA","IISR Girimunda","NA","NA","NA"
"Black pepper","NA","NA","P-24","NA","IISR Malabar","NA","NA","NA"
"Black pepper","NA","NA","IISR Malabar Excel","NA","Excel","NA","NA","NA"
"Anise","NA","NA","NA","NA","NRCSS Aani-1","NA","NA","NA"
"Celery","NA","NA","NA","NA","NRCSS Acel-1","NA","NA","NA"
"Cardamom (Small)","NA","NA","NA","NA","IISR Shakthi","ICRI-5","NA","NA"
"Cardamom (Small)","NA","NA","NA","NA","ICRI-6 (MCC-73)","ICRI-6","NA","NA"
"Apple","NA","NA","NA","NA","NA","Sweet Red","Shalimar","NA"
"Apple","NA","NA","NA","NA","NA","Satai Gold","Apple-1","NA"
"Apple","NA","NA","NA","NA","NA","NA","Apple-2","NA"
"Apple","NA","NA","NA","NA","NA","NA","Shalimar","NA"
"Mango","Pusa Arunima","NA","NA","NA","NA","NA","NA","NA"
"Mango","Pusa Surya","NA","NA","NA","NA","NA","NA","NA"
"Guava","NA","NA","NA","Shweta","NA","NA","NA","NA"
"Banana","NA","NA","NA","Udhayam","NA","NA","NA","NA"
"Grapes","NA","NA","NA","NA","NA","NA","Red Globe","NA"
"Grapes","NA","NA","NA","NA","Clonal sélection A- 17/3","NA","Manjari Naveen","NA"
"Ber","NA","NA","NA","NA","Thar sevika","Thar Bhubhraj","NA","NA"
"Anola","NA","NA","NA","NA","Goma Aishwarya","NA","NA","NA"
"Citrus-Acid-Lime","NA","NA","NA","NA","Khagzi lime","NA","NA","NA"
"Citrus-Acid-Lime","NA","NA","NA","NA","Clone-PDKV","NA","NA","NA"
"Walnut","NA","NA","NA","NA","Balaji","KN-5","NA","NA"
"Walnut","NA","NA","NA","NA","NA","SH-23","NA","NA"
"Walnut","NA","NA","NA","NA","NA","Sarwari","NA","NA"
"Walnut","NA","NA","NA","NA","NA","SR-11","NA","NA"
"Walnut","NA","NA","NA","NA","NA","K-12","NA","NA"
"Apricot","NA","NA","NA","NA","NA","EMA Selection","NA","NA"
"Nectarine","NA","NA","NA","NA","NA","Silver King","NA","NA"
